ticker,filing_type,filing_date,section_used,text_length,positive,negative,neutral,net_score,pct_positive,pct_negative,n_chunks
ACN,10-K,2019-10-29,full_fallback,14000,0.109546,0.450589,0.439865,-0.341043,0.114286,0.514286,35
ACN,10-K,2020-10-22,full_fallback,14000,0.051565,0.569444,0.378991,-0.517879,0.028571,0.657143,35
ACN,10-K,2021-10-15,full_fallback,14000,0.027799,0.517668,0.454533,-0.489869,0.0,0.628571,35
ACN,10-K,2022-10-12,full_fallback,14000,0.033509,0.515707,0.450784,-0.482198,0.0,0.542857,35
ACN,10-K,2023-10-12,full_fallback,14000,0.030257,0.598465,0.371278,-0.568208,0.0,0.742857,35
ACN,10-K,2024-10-10,full_fallback,14000,0.03196,0.571464,0.396575,-0.539504,0.0,0.628571,35
ACN,10-K,2025-10-10,full_fallback,14000,0.032225,0.542563,0.425212,-0.510337,0.0,0.657143,35
ADBE,10-Q,2016-03-30,full_fallback,14400,0.191517,0.20227,0.606213,-0.010752,0.138889,0.166667,36
ADBE,10-Q,2016-06-29,full_fallback,14800,0.169277,0.191859,0.638864,-0.022582,0.162162,0.189189,37
ADBE,10-Q,2016-09-27,full_fallback,14800,0.151219,0.215611,0.63317,-0.064392,0.108108,0.189189,37
ADBE,10-Q,2017-03-29,full_fallback,14400,0.148968,0.226837,0.624195,-0.077869,0.111111,0.194444,36
ADBE,10-Q,2017-06-28,full_fallback,14800,0.147202,0.207225,0.645572,-0.060023,0.108108,0.135135,37
ADBE,10-Q,2017-09-27,full_fallback,14800,0.178296,0.151357,0.670347,0.026939,0.135135,0.108108,37
ADBE,10-Q,2018-03-28,full_fallback,14400,0.203049,0.151534,0.645417,0.051514,0.194444,0.083333,36
ADBE,10-Q,2018-06-27,full_fallback,14800,0.186923,0.132521,0.680556,0.054402,0.162162,0.108108,37
ADBE,10-Q,2018-09-26,full_fallback,14800,0.170031,0.144725,0.685244,0.025305,0.135135,0.081081,37
ADBE,10-Q,2019-03-27,full_fallback,14400,0.109908,0.090427,0.799664,0.019481,0.111111,0.055556,36
ADBE,10-Q,2019-06-26,full_fallback,14400,0.052742,0.090833,0.856425,-0.038092,0.027778,0.055556,36
ADBE,10-Q,2019-09-26,full_fallback,14400,0.029049,0.085472,0.885479,-0.056423,0.0,0.0,36
ADBE,10-Q,2020-03-25,full_fallback,14800,0.158289,0.136381,0.70533,0.021908,0.135135,0.081081,37
ADBE,10-Q,2020-06-24,full_fallback,14800,0.147012,0.141115,0.711873,0.005897,0.108108,0.108108,37
ADBE,10-Q,2020-09-23,full_fallback,14800,0.155206,0.157219,0.687574,-0.002013,0.135135,0.108108,37
ADBE,10-Q,2021-03-31,full_fallback,14400,0.163703,0.211255,0.625042,-0.047552,0.138889,0.194444,36
ADBE,10-Q,2021-06-30,full_fallback,14400,0.215627,0.138699,0.645674,0.076929,0.194444,0.111111,36
ADBE,10-Q,2021-09-29,full_fallback,14400,0.19635,0.126893,0.676758,0.069457,0.166667,0.083333,36
ADBE,10-Q,2022-03-30,full_fallback,14400,0.162632,0.191437,0.645931,-0.028805,0.138889,0.138889,36
ADBE,10-Q,2022-06-29,full_fallback,14800,0.133186,0.168537,0.698277,-0.035351,0.081081,0.135135,37
ADBE,10-Q,2022-09-28,full_fallback,14400,0.171577,0.150111,0.678312,0.021466,0.138889,0.083333,36
ADBE,10-Q,2023-03-29,full_fallback,14400,0.168435,0.131601,0.699964,0.036835,0.138889,0.055556,36
ADBE,10-Q,2023-06-28,full_fallback,14800,0.154515,0.124595,0.720889,0.02992,0.135135,0.054054,37
ADBE,10-Q,2023-09-27,full_fallback,14400,0.154415,0.112879,0.732707,0.041536,0.138889,0.027778,36
ADBE,10-Q,2024-03-27,full_fallback,14400,0.141389,0.197926,0.660685,-0.056537,0.111111,0.194444,36
ADBE,10-Q,2024-06-26,full_fallback,14800,0.148544,0.191021,0.660434,-0.042477,0.108108,0.216216,37
ADBE,10-Q,2024-09-25,full_fallback,14800,0.131685,0.17407,0.694245,-0.042385,0.081081,0.135135,37
ADBE,10-Q,2025-03-26,full_fallback,14400,0.122954,0.146457,0.730589,-0.023503,0.083333,0.111111,36
ADBE,10-Q,2025-06-25,full_fallback,14800,0.135964,0.159634,0.704402,-0.02367,0.108108,0.135135,37
ADBE,10-Q,2025-09-24,full_fallback,14800,0.130991,0.192156,0.676854,-0.061165,0.108108,0.216216,37
ADBE,10-K,2016-01-19,full_fallback,14000,0.042527,0.445609,0.511864,-0.403083,0.028571,0.485714,35
ADBE,10-K,2017-01-20,full_fallback,14000,0.036626,0.478146,0.485228,-0.44152,0.0,0.514286,35
ADBE,10-K,2018-01-22,full_fallback,14000,0.083836,0.44623,0.469934,-0.362394,0.057143,0.428571,35
ADBE,10-K,2019-01-25,full_fallback,14000,0.153095,0.501475,0.34543,-0.34838,0.171429,0.542857,35
ADBE,10-K,2020-01-21,full_fallback,13600,0.041495,0.562624,0.395881,-0.521129,0.0,0.647059,34
ADBE,10-K,2021-01-15,full_fallback,14000,0.054614,0.543528,0.401858,-0.488914,0.0,0.6,35
ADBE,10-K,2022-01-21,full_fallback,14000,0.040763,0.627012,0.332225,-0.586248,0.0,0.714286,35
ADBE,10-K,2023-01-17,full_fallback,14000,0.046573,0.598948,0.354479,-0.552375,0.0,0.685714,35
ADBE,10-K,2024-01-17,full_fallback,13600,0.06322,0.5164,0.42038,-0.45318,0.029412,0.617647,34
ADBE,10-K,2025-01-13,full_fallback,13600,0.060584,0.491228,0.448188,-0.430645,0.0,0.617647,34
ADBE,10-K,2026-01-15,full_fallback,13600,0.029585,0.604189,0.366226,-0.574604,0.0,0.735294,34
AMAT,10-Q,2016-02-25,mda,400,0.021766,0.032515,0.945718,-0.010749,0.0,0.0,1
AMAT,10-Q,2016-05-26,mda,400,0.021422,0.034301,0.944277,-0.012879,0.0,0.0,1
AMAT,10-Q,2016-08-25,mda,400,0.020943,0.035823,0.943234,-0.01488,0.0,0.0,1
